Judul,Harga,Lokasi,Kota,Provinsi,Tipe Properti,Kamar Tidur,Kamar Mandi,Luas Total,Lantai,Tahun Dibangun,Sertifikat,Nama Agen,Tanggal Posting,Link
"DIJUAL UNIT PREMIUM 3+1 BEDROOM 85 SQM 
CITY VIEW BSD | AKSES AEON |","Rp 1,45M","BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3 Kamar Tidur,3 Kamar Mandi,85 m²,25,2022,,Rinif Sky BSD,23 Feb 2026,https://www.lamudi.co.id/properti/41032-73-c237a8531ed3-fc47-19c8a16-ba06-7eaf
"DIJUAL UNIT PREMIUM 3+1 BEDROOM 85 SQM 
CITY VIEW BSD | AKSES AEON |","Rp 1,40M","BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3 Kamar Tidur,3 Kamar Mandi,85 m²,3,2022,,Rinif Sky BSD,23 Feb 2026,https://www.lamudi.co.id/properti/41032-73-b97b8d64b621-6ea9-19c8a02-b3e3-79a5
DI JUAL UNIT BAGUS 2 BEDROOM LUAS 51 SQM  APARTMENT SKYHOUSE BSD,Rp 930Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,26,2023,SHM,Rinif Sky BSD,1 Mei 2026,https://www.lamudi.co.id/properti/41032-73-d3a1590f1325-7a5a-19de315-a5fb-7d2b
DI JUAL APARTEMEN SKYHOUSE 3+1 BEDROOM | AKSES AEON MALL,"Rp 1,65M","BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3 Kamar Tidur,3 Kamar Mandi,120 m²,28,2022,,Rinif Sky BSD,26 Feb 2026,https://www.lamudi.co.id/properti/41032-73-1cb9cf45cae0-bff5-19c98ba-961d-7779
"DIJUAL UNIT PREMIUM 2 BEDROOM 51 SQM 
CITY VIEW BSD | AKSES AEON |",Rp 860Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,28,2023,,Rinif Sky BSD,10 Feb 2026,https://www.lamudi.co.id/properti/41032-73-1c976f5fefcd-77d9-19c4679-a06e-716c
"DIJUAL UNIT PREMIUM 2 BEDROOM 51 SQM 
CITY VIEW BSD | AKSES AEON |",Rp 780Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,22,2023,,Rinif Sky BSD,28 Feb 2026,https://www.lamudi.co.id/properti/41032-73-c949bae8462c-55b9-19ca33a-a48b-7ee8
Dijual 1 Bedroom Fully Furnished Lexington Residence - Pondok Indah,"Rp 1,40M","RW 03, Bintaro, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,57 m²,,,SHM,Ramsey,1 Jun 2026,https://www.lamudi.co.id/properti/41032-73-934c135f268-96c1-19e82e4-a40d-7184
DI JUAL HUNIAN 2 BEDROOM SKYHOUSE BSD,Rp 930Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,27,2023,SHM,Rinif Sky BSD,6 Apr 2026,https://www.lamudi.co.id/properti/41032-73-cf8c8f922d7c-7a8c-19d6193-8c92-760c
DI JUAL UNIT 2 BEDROOM SKYHOUSE LUAS | Akses Aeon Mall,Rp 860Jt,"Griya Mulia Cisauk C, Cisauk, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,22,2022,,Rinif Sky BSD,25 Feb 2026,https://www.lamudi.co.id/properti/41032-73-bdf666a7f5a0-8e12-19c9490-b075-7b26
3BR Sky House BSD Termurah 1.4M ! Samping AEON Mall,"Rp 1,40M","BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3 Kamar Tidur,2 Kamar Mandi,85 m²,25,2020,,Rinif Sky BSD,3 Mar 2026,https://www.lamudi.co.id/properti/41032-73-3cc3501f0361-594a-19cb2ac-8649-7c7d
DI JUAL STUDIO APARTEMEN SKYHOUSE | AKSES AEON MALL,Rp 470Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1 kamar tidur,1 kamar mandi,23 m²,22,2023,,Rinif Sky BSD,1 Mar 2026,https://www.lamudi.co.id/properti/41032-73-bee950bcb24f-d498-19ca8e8-a3af-7b55
"DIJUAL UNIT PREMIUM 3+1 BEDROOM 85 SQM 
CITY VIEW BSD | AKSES AEON |","Rp 1,45M","BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3 Kamar Tidur,3 Kamar Mandi,85 m²,25,2022,,Rinif Sky BSD,27 Feb 2026,https://www.lamudi.co.id/properti/41032-73-9089a0260868-2bbc-19c9e12-8846-7134
"HOOOK ,Samping lift Dijual Apartemen STA Sentul Tower 1BR View Bagus Harga Terjangkau Murah Dekat Tol & AEON, Gedung putih. full furnished.300 juta",Rp 300Jt,"Sentul City, Cipambuan, Babakan Madang, Kab Bogor, Jawa Barat",Kab Bogor,Jawa Barat,Apartemen,1 kamar tidur,1 kamar mandi,23 m²,16,2015,SHM,PT Asiatama Prima Group Indonesia,16 Mei 2026,https://www.lamudi.co.id/properti/41032-73-198f415105ec-fe54-19e3081-8a53-7141
Apartemen 2 kamar The Mansion Bougenville,Rp 950Jt,"RW 10, Ancol, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,35 m²,,,,GP Permata Buana,17 Sep 2025,https://www.lamudi.co.id/jual/jakarta/jakarta-utara/apartemen-2-kamar-the-mansion-bougenville-175807857478/
For sale apartment essence east tower dharmawangsa,"Rp 6,50M","RW 08, Cipete Utara, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,3 Kamar Tidur,3 Kamar Mandi,180 m²,29,,,Ali Murtadha Alaydrus,6 Feb 2026,https://www.lamudi.co.id/properti/41032-73-a61e03fbbf10-bc0f-19c3370-b56e-7122
Apartemen Studio Full furnished pemandangan Gunung,Rp 900Jt,"RW 02, Duren Tiga, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,38 m²,8,,,Banjar Sam,14 Sep 2025,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/apartemen-studio-full-furnished-pemandangan-gunung-17578608209/
DI JUAL APARTEMEN MURAAHH 2 BEDROOM SKY HOUSE BSD – READY UNIT HUNI l AKSES AEON MALL,Rp 850Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,20,,SHM,Frans Property,22 Mei 2026,https://www.lamudi.co.id/properti/41032-73-7794c51ea29c-dc0c-19e4f5b-9b4a-731e
DI JUAL APARTEMEN 2 BEDROOM SKY HOUSE BSD – READY UNIT HUNI l AKSES AEON MALL,Rp 860Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,19,,SHM,Frans Property,22 Mei 2026,https://www.lamudi.co.id/properti/41032-73-fe4b97a4aad1-7d26-19e4f24-9791-7235
APARTEMEN 2BR SIAP HUNI FULL FURNISHED DEKAT MALL TERAS KOTA BSD POSISI HOOK DEPAN UNIT SKY GARDEN,"Rp 1,20M","BSD Sunburst CBD, Babakan, BSD City, Serpong, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,60 m²,30,2020,Strata,Deni Lawolo,25 Mei 2026,https://www.lamudi.co.id/properti/41032-73-224677d381a3-4f40-19e5d95-bf18-7302
Jual Apartemen Water Palace Via Lelang,Rp 757Jt,"RW 03, Babatan, Wiyung, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,2 Kamar Tidur,2 Kamar Mandi,74 m²,34,,,Mahrus - Be The Best Property,8 Jun 2026,https://www.lamudi.co.id/properti/41032-73-e783ac4053e0-2b44-43edbeb1-8e3a-48ce
