Judul,Harga,Lokasi,Kota,Provinsi,Tipe Properti,Kamar Tidur,Kamar Mandi,Luas Total,Nama Agen,Link
"Luxury 4 Bedroom Apartment – Fully Furnished | For Rent | Casa Domaine, CBD Jakarta",20000000000.0,"RW 05, Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,4.0,4.0,296.0,Casa Domaine Residences,https://www.lamudi.co.id/properti/41032-73-935000f1c832-eb75-19d3d16-bd60-75e3
Apartemen mewah di tengah Makassar,3800000000.0,"Maricaya Baru, Makassar, Makassar, Sulawesi Selatan",Makassar,Sulawesi Selatan,Apartemen,3.0,3.0,143.0,Dedy Century 21 Best Home,https://www.lamudi.co.id/properti/41032-73-2df4c3dc8735-1370-19dc404-bfc6-77cc
Aprtement murah di lokasi strategis,870000000.0,"RW 04, Cibubur, Ciracas, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,48.0,Dome Real Estate,https://www.lamudi.co.id/jual/jawa-barat/bekasi/aprtement-murah-di-lokasi-strategis-175511849064/
Dijual Cepat Apartment Meikarta Northview District 1. hub 08131081----,400000000.0,"Meikarta, Jayamukti, Kab Bekasi, Jawa Barat",Kab Bekasi,Jawa Barat,Apartemen,2.0,1.0,48.0,ariyusman-arief,https://www.lamudi.co.id/properti/41032-73-f155e7cee260-d058-199f57e-b799-75e4
Dijual 2BR Sky House BSD City – Lokasi Premium Dekat AEON,930000000.0,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,51.0,Rinif Sky BSD,https://www.lamudi.co.id/properti/41032-73-742c7a4227b0-84ba-19e8815-a8a9-73d8
"DIJUAL UNIT PREMIUM 3+1 BEDROOM 85 SQM 
CITY VIEW BSD | AKSES AEON |",1450000000.0,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3.0,3.0,85.0,Rinif Sky BSD,https://www.lamudi.co.id/properti/41032-73-c237a8531ed3-fc47-19c8a16-ba06-7eaf
"DIJUAL UNIT PREMIUM 3+1 BEDROOM 85 SQM 
CITY VIEW BSD | AKSES AEON |",1400000000.0,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3.0,3.0,85.0,Rinif Sky BSD,https://www.lamudi.co.id/properti/41032-73-b97b8d64b621-6ea9-19c8a02-b3e3-79a5
DI JUAL UNIT BAGUS 2 BEDROOM LUAS 51 SQM  APARTMENT SKYHOUSE BSD,930000000.0,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,51.0,Rinif Sky BSD,https://www.lamudi.co.id/properti/41032-73-d3a1590f1325-7a5a-19de315-a5fb-7d2b
DI JUAL APARTEMEN SKYHOUSE 3+1 BEDROOM | AKSES AEON MALL,1650000000.0,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3.0,3.0,120.0,Rinif Sky BSD,https://www.lamudi.co.id/properti/41032-73-1cb9cf45cae0-bff5-19c98ba-961d-7779
"DIJUAL UNIT PREMIUM 2 BEDROOM 51 SQM 
CITY VIEW BSD | AKSES AEON |",860000000.0,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,51.0,Rinif Sky BSD,https://www.lamudi.co.id/properti/41032-73-1c976f5fefcd-77d9-19c4679-a06e-716c
