Judul,Harga,Lokasi,Link
Apartemen Dijual di Kebayoran Lama,"Rp 1,50M","RW 09, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-5a55aba1b8db-75bf-19d6b4c-a901-7784
Apartemen Dijual di Palmerah,"Rp 1,30M","RW 01, Slipi, Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/apartemen-slipi-174229569888/
Apartemen Dijual di Grogol Utara,"Rp 2,90M","RW 09, Grogol Utara, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/permata-hijau-residence-17424573794/
Apartemen Dijual di Depok,"Rp 1,90M","Depok, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-b1971a95658b-3003-19d878b-9eef-7618
Apartemen Dijual di Penjaringan Sari,Rp 350Jt,"RW 02, Penjaringan Sari, Rungkut, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-18e86898999b-d2ca-19efdd0-9f7d-7456
Apartemen Dijual di Kelapa Dua,Rp 850Jt,"Goldland Karawaci, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-1d4565332d20-2ca2-19bdee0-848a-7b7f
Apartemen Dijual di Grogol Petamburan,Rp 1M,"RW 07, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-b3150d689539-b5f7-19ebf24-a1fe-7638
Apartemen Dijual di Bekasi,"Rp 1,90M","Kranggan, Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-c1cb6d88c357-18c7-19c932f-aaf6-73d8
Apartemen Dijual di Kelapa Dua,Rp 1M,"Lippo Village, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-92acec2f8bb4-a93d-19d23fc-abea-7e91
Apartemen Dijual di Grogol Petamburan,"Rp 2,60M","RW 05, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-9136766ff919-3648-19eb5e7-9189-7295
Apartemen Dijual di Grogol Petamburan,"Rp 2,50MProperti sitaan","RW 04, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-2a2712f6cbcd-8ae-19eb5c2-b0a2-76c7
Apartemen Dijual di Cilandak,"Rp 2,40M","RW 02, Cipete Selatan, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-69f09e6f7ef5-93f5-19df603-b184-7767
Apartemen Dijual di Cilandak,"Rp 1,50M","RW 02, Cilandak Barat, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-521ad6827821-5865-19d6b6d-a971-7448
Apartemen Dijual di Kelapa Indah,Rp 250Jt,"Kota Ayodhya, Kelapa Indah, Tangerang, Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-2cbfd4a6aece-47e-19e6ef6-b409-77e9
Apartemen Dijual di Kelapa Dua,Rp 450Jt,"Lippo Village, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-be5d80fb17c6-b9f2-19e63bb-98c6-7756
Apartemen Dijual di Kelapa Dua,Rp 900Jt,"Lippo Village, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-50200e064f4b-a96c-19d41ef-9ade-71c7
Apartemen Dijual di Raya Margorejo,"Rp 1,20M","Perumahan Margorejo Indah, RW 08, Margorejo, Wonocolo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-9edcf5b4762a-3af8-19e1bb4-b982-7115
Apartemen Dijual di Bumi Serpong Damai,"Rp 1,30M","BSD Grand CBD, BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-948b47067694-eb4-19e877f-bf19-740b
Apartemen Dijual di Sukaasih,"Rp 1,75M","Sukaasih, Tangerang, Tangerang, Banten",https://www.lamudi.co.id/jual/banten/tangerang/dijual-apartemen-rainbow-condovilla-di-gading-serp-175438278288/
Apartemen Dijual di Kelapa Dua,Rp 630Jt,"Lippo Village, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-48eebcaf6ae1-f310-19d23f2-b50d-72e0
Apartemen Dijual di Kelapa Dua,Rp 2M,"Goldland Karawaci, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-4347141ea3fd-a4e8-19e3a9e-b9a4-7d7e
Apartemen Dijual di Serpong,Rp 315Jt,"Cadasmampar, Serpong, Serpong, Tangerang Selatan, Banten",https://www.lamudi.co.id/jual/banten/tangerang-selatan/dijual-apartemen-type-studio-di-urbantown-serpong-175222819363/
Apartemen Dijual di Kelapa Dua,"Rp 2,20M","Lippo Village, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-fdf1dbce6b1f-18c1-19d23f0-ab9b-7678
Apartemen Dijual di Mulyorejo,Rp 275Jt,"RW 08, Mulyorejo, Mulyorejo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-372732b483b3-cfef-19edbde-b1dd-7599
Apartemen Dijual di Jatikramat,Rp 307Jt,"Cikunir, Jatikramat, Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-ebcd7abed2df-d974-19e2b09-939b-76e7
Apartemen Dijual di Karet Tengsin,"Rp 1,50M","RW 09, Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-pusat/apartemen-sudirman-park-175282328693/
Apartemen Dijual di Grogol Petamburan,"Rp 1,30M","RW 07, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-a174fa4317e8-1bb1-19de1c1-ace4-7631
Apartemen Dijual di Menteng,"Rp 3,50MProperti sitaan","RW 05, Menteng, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-dfce98d85328-ceac-19ea320-b363-7b17
Apartemen Dijual di Kalijudan,Rp 525Jt,"RW 07, Kalijudan, Mulyorejo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-e80e0cd970aa-cb99-19e1a64-a8c0-7687
Apartemen Dijual di Grogol Petamburan,Rp 950Jt,"RW 06, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-83c29d381afc-eb5e-19d41d3-b65e-7590
Apartemen Dijual di Grogol Petamburan,"Rp 2,50M","RW 01, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-4d25259e318a-9fff-19d41ec-9d09-73b3
